"total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","health_ins","medicaid_enroll","late_no_prenatal_care","clinics_and_chc_density","non_pcmd_density"
57150,48.3,59.6,8.3,17.6,14.5,56.6,44.7,33.8,23.9,7.5,72.7,47.2,8.3,0.349956255468066,0.349956255468066
53290,44.3,86.9,1,4.2,7.9,66.6,61.4,46.6,25.2,6,58.5,49.1,9.4,0.187652467629949,1.87652467629949
22716,47.4,62.4,4.9,24.4,8.3,55.1,36.1,25,20.6,9.1,73.9,48.3,10.5,0,0
105083,49.8,55.3,16.1,1.8,26.8,62,44.1,23.6,18.4,9.4,76.7,39.7,9.2,0.0951628712541515,8.46949554161948
87373,48,44.3,6.3,1.4,48,69.4,57.7,30.6,20.5,6.2,72.6,45.8,8.4,0,47.9553180044178
26608,51.4,28.2,57.5,1,13.3,40.5,24.9,15.7,12,9,83,32.3,6.2,0,6.01322910402886
63936,50.5,33.1,37.6,2.1,27.2,51.3,33.7,16.3,14.2,6.5,78.4,27,6.2,0.156406406406406,7.66391391391391
19688,54.8,3.9,1.6,91.1,3.3,38.7,6.3,10.1,4.8,6.7,89.5,19.8,8.8,0,1.01584721657863
56705,52.4,17.6,6.2,49.3,27,51.1,17.4,17.1,10.8,13,86,27.2,8.7,0,3.35067454369103
40027,51.2,25.8,19.4,10.8,44.2,56.8,31.1,15.8,15.8,12.9,80.1,39.6,8,0,7.74477227871187
38081,52.2,12.3,52.1,7.2,28.3,40.2,23.3,12.2,13.8,8.2,90.6,30.7,3.7,0,5.51456106719887
33925,53.7,21.8,34.8,10.6,32.8,38.4,26.2,14.2,20.5,12.5,91.4,32.6,6.5,0,68.6809137803979
18074,51.5,13.2,31.9,3.6,51.2,49.6,30.2,12.3,12.9,10.4,85.5,28.3,4.6,0,8.85249529711187
28103,51.6,7.6,40.9,1.9,49.6,44.8,29.1,8.8,9.3,6.6,88.4,23.5,4.8,0,4.98167455431804
26609,51.5,19.8,30.6,5.7,43.9,41.6,23.4,12.8,10.5,6.7,91,24.4,5,0.375812694952835,10.1469427637266
22327,54.6,8.1,49.1,4.3,38.4,34.7,15.3,9.3,7.5,8.7,92.7,17.3,2.2,0.447888207103507,125.856586196085
25490,51.6,11.3,46.7,1.8,40.2,39.1,28.1,9.3,7.4,7,89.3,16,3.2,0,7.45390349156532
46667,52,14.9,41.5,1.7,41.8,42.5,29.2,11.5,7.3,8.4,89.3,21.6,4,0,20.785565817387
22060,52.8,8.5,67.7,0.4,23.4,29.6,17.8,8.8,7.2,10.2,94,13.6,3.1,0,9.06618313689937
20999,52,10.8,41.9,1,46.2,46.4,34.2,15.5,8,7.8,87.3,26.2,5.1,2.85727891804372,41.4305443116339
31948,51.1,16.2,64.1,0.5,19.2,33.1,24.3,13.6,6.6,7.6,90.5,17.6,4.5,0,5.94716414173031
26340,50.4,28.4,14.9,0.8,56.1,66.8,53.2,23.8,14.1,5.4,76.3,45.2,8.1,0,14.0470766894457
51994,52.3,14,26.5,1.7,57.7,58.6,48.3,20.8,15.6,8,78.4,39.5,5.1,0.19232988421741,5.57756664230488
27012,50.3,16,17.7,1.1,65.2,62.5,51,21.9,14.8,9,76.4,49.1,5.6,0,46.2757293054939
61278,50.9,53.1,15.2,4.8,26.9,47,28.4,23.5,15.6,11.7,84.5,40.1,7,0.163190704657463,3.59019550246418
64049,51,35,11.1,8.5,45.3,56.9,24.3,26.3,16.2,10.2,81.6,43,8,0.156130462614561,52.7720963637215
83286,51.5,20.8,5.9,22.9,50.5,56.5,11.3,25.4,14.1,11.6,81.5,35.3,9.9,0.120068198736883,4.32245515452777
22856,51,39.7,25.5,6.1,28.8,41.2,21.7,21.3,16.1,11.1,87.1,34,6.6,0,2.18760938046902
28742,54.6,19.6,73.2,2.2,5,18.9,9.6,14.1,8.9,9.5,93.3,14.2,2,0.347922900285297,11.4814557094148
23145,51,25.1,47.5,6.9,20.6,42.2,20.9,10.6,11.8,7.6,90.3,25.4,5.1,0,19.4426441996111
54198,50.7,36.9,3.8,18.6,40.8,62.5,38.2,32.4,24.5,13.7,78.8,52.6,10.6,1.66057788110262,12.1775711280859
21727,51.1,17.9,15.3,1.8,65,64.1,51.3,26.7,15.1,9.4,78.1,54.2,8.7,0.920513646614811,93.4321351314033
45804,48.8,36,22.3,1.3,40.2,57.8,39.2,22.4,14.8,7.5,76.4,35.7,9.5,0,2.83818007160947
26847,55.9,4.4,1.2,90.6,3.8,36,4.6,12.6,5.5,8.1,89.2,20.2,10.8,0,3.35232986925914
18393,52.7,39.1,16.6,23.7,20.5,38,28.8,28.4,34,15.6,81.8,55,13.5,1.08737019518295,19.5726635132931
77095,50,27.5,51.4,4.6,16.5,43.5,26.9,16.1,16.1,9.6,81.3,27.4,11,0.259420195862248,13.3601400869058
29149,50.3,34.6,35.5,10.8,19,44.4,26.8,22,20.8,11.1,80.7,31.5,15.5,0.343064942193557,24.014545953549
47980,51.5,22.5,62.9,1.6,13.1,37.8,20.9,15,12.6,9.2,84.5,22,8.4,0,5.41892455189662
37155,53.8,13.1,0.9,72.7,13.3,35.8,7.9,16.8,14.9,12.2,87.4,33.8,11.3,0.53828556048984,4.30628448391872
28853,49.5,6.3,89.5,0.5,3.7,14.2,6.6,8.9,7,5.6,96.2,11.5,1.3,0,18.0223893529269
39594,52.6,12.8,63.9,5.6,17.7,24,11.1,10.5,8.3,6.9,93.6,24,2.5,0.252563519725211,18.9422639793908
24357,51.3,15.6,71.7,2.6,10.1,15.6,5.4,7.8,7.6,7,95.6,14.2,1.7,0,51.3199490906105
22484,55.9,28.8,27.7,29.4,14,28.2,14,19,20.9,11,90.6,34.9,4.2,0,2.22380359366661
24574,49.1,12.4,80.7,1.8,5,15,6.5,8.7,5.5,6.1,93.7,12.1,1.2,0,3.25547326442582
30042,53.1,36.9,23.4,29.4,10.2,25.2,12.3,17.3,21.1,8.6,88.7,39.8,4.3,0.332867319086612,4.32727514812596
15394,54.4,13.9,65.4,5.9,14.8,34.3,20.1,14.1,12.2,8.8,91.8,31.1,3,0,38.9762245030531
32841,50.7,31.5,25.1,35.4,7.9,22.2,11.9,16.4,27.7,9.9,88.8,41.6,4.9,0,2.43597941597393
31472,52.8,10.8,71.7,1.8,15.6,27.2,13.4,11.9,7.1,5.4,91.8,19.8,2.4,0.317742755465175,14.2984239959329
21575,54.3,12.6,80.2,3,4.1,16.6,8.4,9.4,5.5,7.6,95.1,15.9,2.6,0,7.41599073001159
19229,50.9,31.3,43.2,17.4,8.2,23.7,14,13.8,23.2,6.4,87.9,32.2,3.2,0.520047844401685,5.72052628841853
21050,52.1,7.8,86.4,0.4,5.5,11.5,5.5,8.5,12.7,6.1,96.2,12.7,1.5,0,2.37529691211401
18313,47.7,25,55.6,11.7,7.6,16.4,9.5,12.3,15.4,9.4,89.1,23.3,2.8,1.09212035166275,89.5538688363458
25007,52.9,13.3,71.4,4.3,11,30.5,17.8,12.6,11.7,8.1,92.5,24.3,2.6,1.99944015675611,124.765065781581
26596,49.8,30.4,37.9,19.3,12.5,31.7,22.1,19.4,19.8,7.6,85,42.6,4.4,0.375996390434652,4.13596029478117
20461,51,11.8,79.3,1.2,7.7,22.9,12.3,8.5,6.4,7.4,93.9,22.5,3.3,0,31.2790186207908
25602,50.5,11.9,79.6,1.4,7.2,15.3,6.3,8.9,5.3,8,96.4,14.1,1.6,0,0
44078,50.9,9.8,84,0.3,5.9,16.4,7.8,8.2,8,8.5,94.5,12.7,1.8,0,10.6629157402786
